1045,149,24460,1989
1045,108,41256,1984
1040,133,9789,1994
1007,114,1840,2012
1032,148,41353,1986
1031,122,21199,2014
1036,148,14141,1985
1018,120,44415,1998
1032,150,12179,2016
1010,142,7510,2015
1044,119,36345,2012
1036,122,35944,2017
1032,149,35178,2016
1023,144,8345,2009
1025,149,31310,2013
1000,121,38425,2002
1041,100,22525,1998
1018,106,18243,2000
1014,106,8725,1994
1013,147,37795,1982
1032,146,23373,2012
1011,143,13056,2010
1046,124,48250,2014
1007,102,37706,2006
1048,118,36982,2004
1004,101,6517,2007
1019,115,13115,2009
1039,137,40511,2013
1043,124,21661,1993
1022,142,15112,2009
1050,115,40460,2006
1012,131,4168,2003
1033,125,35930,1986
1036,109,16133,2014
1033,149,9681,1981
1033,146,22603,1985
1014,108,12782,1981
1006,140,22077,1981
1007,114,34029,1995
1000,150,2972,1994
1028,116,15372,1994
1006,114,28049,2013
1004,117,32624,1981
1012,127,2572,2012
1008,108,5113,2006
1011,101,8925,1981
1028,146,43542,2000
1025,142,3672,2008
1011,143,33189,2011
1005,134,20508,2008
1012,107,2077,1991
1010,137,23423,2016
1038,148,49363,2016
1023,108,36078,1996
1030,100,32014,1984
1040,128,15356,2000
1032,113,18020,2000
1024,116,2200,2013
1045,129,24134,2006
1048,146,48808,1995
1016,102,36295,2016
1009,144,9478,2013
1015,121,36221,2006
1029,108,42630,1985
1045,109,36660,2008
1039,115,9113,1985
1037,110,12406,2013
1002,134,39439,1986
1037,145,8019,2013
1050,106,46541,2003
1004,115,5637,1986
1045,135,46759,2005
1016,113,5727,1989
1012,128,23003,2015
1023,132,21098,2017
1047,145,41259,1998
1005,124,2026,1981
1016,145,11988,1990
1022,128,48698,2006
1041,110,41578,1987
1045,126,21175,2003
1032,131,9976,1989
1020,150,8971,1994
1040,126,39543,2001
1037,135,39159,1983
1031,121,6726,2003
1043,127,35363,1987
1005,106,34173,2012
1007,128,40778,2006
1027,126,26328,2001
1034,111,34739,1990
1028,111,11183,2011
1007,129,48229,1998
1019,124,6541,1997
1028,112,38814,2007
1024,141,48459,1982
1010,109,18498,1983
1044,118,45659,2003
1026,147,35046,1981
1042,128,19041,1991
